Production_ID,Region_Name,Climate_Name,Soil_Type,Crop_Name,Year,Season,Area_Harvested,Quantity,Yield
20190142122,Adamawa,Highland,Loamy,Maize,2019,Dry Season,37.000,4054,109.5700
20190529473,Adamawa,Highland,Loamy,Maize,2019,Rainy Season,48.000,8319,173.3100
20190321048,Adamawa,Highland,Loamy,Maize,2019,Dry Season,66.000,4436,67.2100
20190270026,Adamawa,Highland,Loamy,Maize,2019,Dry Season,45.000,9069,201.5300
20190969284,Adamawa,Highland,Loamy,Maize,2019,Rainy Season,39.000,366,9.3800
20191178027,Adamawa,Highland,Loamy,Maize,2019,Dry Season,95.000,8076,85.0100
20190435375,Adamawa,Highland,Loamy,Maize,2019,Dry Season,73.000,1180,16.1600
20191217421,Adamawa,Highland,Loamy,Maize,2019,Dry Season,28.000,5298,189.2100
20191057872,Adamawa,Highland,Loamy,Maize,2019,Rainy Season,70.000,6150,87.8600
20190891770,Adamawa,Highland,Loamy,Maize,2019,Rainy Season,72.000,7459,103.6000
20190663697,Adamawa,Highland,Loamy,Maize,2019,Rainy Season,22.000,4470,203.1800
20190791992,Adamawa,Highland,Loamy,Maize,2019,Rainy Season,30.000,9865,328.8300
20190788229,Adamawa,Highland,Loamy,Millet,2019,Rainy Season,73.000,7427,101.7400
20190164149,Adamawa,Highland,Loamy,Millet,2019,Dry Season,63.000,2771,43.9800
20190280088,Adamawa,Highland,Loamy,Millet,2019,Dry Season,35.000,946,27.0300
20191296370,Adamawa,Highland,Loamy,Millet,2019,Dry Season,87.000,4038,46.4100
20190300261,Adamawa,Highland,Loamy,Millet,2019,Dry Season,77.000,4693,60.9500
20190416666,Adamawa,Highland,Loamy,Millet,2019,Dry Season,78.000,1612,20.6700
20190576150,Adamawa,Highland,Loamy,Millet,2019,Rainy Season,29.000,7266,250.5500
20190926013,Adamawa,Highland,Loamy,Millet,2019,Rainy Season,20.000,8373,418.6500
20191028897,Adamawa,Highland,Loamy,Millet,2019,Rainy Season,57.000,8529,149.6300
20191156257,Adamawa,Highland,Loamy,Millet,2019,Dry Season,28.000,1726,61.6400
20190631493,Adamawa,Highland,Loamy,Millet,2019,Rainy Season,75.000,2555,34.0700
20190800470,Adamawa,Highland,Loamy,Millet,2019,Rainy Season,23.000,1779,77.3500
20191089014,Adamawa,Highland,Loamy,Sesame,2019,Rainy Season,55.000,4508,81.9600
20190787798,Adamawa,Highland,Loamy,Sesame,2019,Rainy Season,30.000,606,20.2000
20191119963,Adamawa,Highland,Loamy,Sesame,2019,Dry Season,33.000,8457,256.2700
20190496647,Adamawa,Highland,Loamy,Sesame,2019,Dry Season,69.000,8236,119.3600
20191236941,Adamawa,Highland,Loamy,Sesame,2019,Dry Season,64.000,2199,34.3600
20190974393,Adamawa,Highland,Loamy,Sesame,2019,Rainy Season,29.000,9209,317.5500
20190831114,Adamawa,Highland,Loamy,Sesame,2019,Rainy Season,68.000,9387,138.0400
20190151739,Adamawa,Highland,Loamy,Sesame,2019,Dry Season,62.000,7982,128.7400
20190623457,Adamawa,Highland,Loamy,Sesame,2019,Rainy Season,30.000,3024,100.8000
20190284345,Adamawa,Highland,Loamy,Sesame,2019,Dry Season,44.000,4897,111.3000
20190301957,Adamawa,Highland,Loamy,Sesame,2019,Dry Season,64.000,2354,36.7800
20190521453,Adamawa,Highland,Loamy,Sesame,2019,Rainy Season,86.000,4142,48.1600
