Production_ID,Region_Name,Crop_Name,Year,Month,Season,Area_Harvested,Quantity,Yield
20190107205,Southwest,Papaya,2019,1,Dry Season,98.000,7369,75.1900
20190109355,Southwest,Sweet potato,2019,1,Dry Season,46.000,9663,210.0700
20190110233,Southwest,Cassava,2019,1,Dry Season,59.000,2057,34.8600
20190118407,Southwest,Watermelon,2019,1,Dry Season,35.000,6797,194.2000
20190132982,Southwest,Avocado,2019,1,Dry Season,67.000,301,4.4900
20190142596,Southwest,Rubber,2019,1,Dry Season,41.000,4127,100.6600
20190148077,Southwest,Paddy rice,2019,1,Dry Season,84.000,2451,29.1800
20190150828,Southwest,Voandzou,2019,1,Dry Season,43.000,4233,98.4400
20190157598,Southwest,Cowpea,2019,1,Dry Season,54.000,1034,19.1500
20190166396,Southwest,Macabo,2019,1,Dry Season,99.000,865,8.7400
20190169739,Southwest,Orange,2019,1,Dry Season,33.000,7267,220.2100
20190174018,Southwest,Mango,2019,1,Dry Season,52.000,1211,23.2900
20190175124,Southwest,Yam,2019,1,Dry Season,71.000,1986,27.9700
20190194861,Southwest,Robusta coffee,2019,1,Dry Season,23.000,822,35.7400
20190195366,Southwest,Cocoa,2019,1,Dry Season,98.000,1465,14.9500
20190199354,Southwest,Taro,2019,1,Dry Season,35.000,7450,212.8600
20190101637,Littoral,Macabo,2019,1,Dry Season,88.000,3241,36.8300
20190102756,Littoral,Papaya,2019,1,Dry Season,98.000,7522,76.7600
20190105249,Littoral,Chilli,2019,1,Dry Season,91.000,8299,91.2000
20190106742,Littoral,garlic,2019,1,Dry Season,72.000,1955,27.1500
20190110299,Littoral,Onion,2019,1,Dry Season,77.000,4404,57.1900
20190114385,Littoral,Watermelon,2019,1,Dry Season,40.000,678,16.9500
20190120226,Littoral,Cocoa,2019,1,Dry Season,64.000,765,11.9500
20190123994,Littoral,Eggplant (garden eggs),2019,1,Dry Season,71.000,614,8.6500
20190124470,Littoral,Rubber,2019,1,Dry Season,85.000,4753,55.9200
20190125695,Littoral,Taro,2019,1,Dry Season,35.000,7860,224.5700
20190126534,Littoral,Pepper,2019,1,Dry Season,47.000,6840,145.5300
20190142050,Littoral,Tomatoes,2019,1,Dry Season,59.000,657,11.1400
20190144689,Littoral,Avocado,2019,1,Dry Season,51.000,944,18.5100
20190149984,Littoral,Mango,2019,1,Dry Season,33.000,4811,145.7900
20190157637,Littoral,Cabbage,2019,1,Dry Season,74.000,5712,77.1900
20190157794,Littoral,Cassava,2019,1,Dry Season,54.000,5446,100.8500
20190163008,Littoral,Soya,2019,1,Dry Season,22.000,6334,287.9100
20190173609,Littoral,Oil,2019,1,Dry Season,81.000,6904,85.2300
20190174438,Littoral,Voandzou,2019,1,Dry Season,77.000,2212,28.7300
20190177726,Littoral,Paddy rice,2019,1,Dry Season,59.000,3533,59.8800
20190180033,Littoral,Mushroom,2019,1,Dry Season,46.000,8976,195.1300
20190186207,Littoral,Black nightshade,2019,1,Dry Season,42.000,3155,75.1200
20190186247,Littoral,Sweet potato,2019,1,Dry Season,21.000,9136,435.0500
20190187014,Littoral,Coffee Arabica,2019,1,Dry Season,59.000,5381,91.2000
20190188528,Littoral,Robusta coffee,2019,1,Dry Season,48.000,5811,121.0600
20190190884,Littoral,Sugar cane,2019,1,Dry Season,85.000,6598,77.6200
20190191074,Littoral,Carrot,2019,1,Dry Season,63.000,3395,53.8900
20190192141,Littoral,Orange,2019,1,Dry Season,59.000,1617,27.4100
20190100426,South,Taro,2019,1,Dry Season,44.000,3952,89.8200
20190139540,South,Robusta coffee,2019,1,Dry Season,36.000,6806,189.0600
20190146099,South,Cocoa,2019,1,Dry Season,39.000,8740,224.1000
20190159703,South,Cassava,2019,1,Dry Season,68.000,100,1.4700
20190190027,South,Oil,2019,1,Dry Season,53.000,5046,95.2100
20190105739,East,Taro,2019,1,Dry Season,41.000,2339,57.0500
20190130875,East,Robusta coffee,2019,1,Dry Season,35.000,1879,53.6900
20190167712,East,Oil,2019,1,Dry Season,24.000,2218,92.4200
20190180001,East,Cassava,2019,1,Dry Season,57.000,1422,24.9500
20190184185,East,Cocoa,2019,1,Dry Season,32.000,9141,285.6600
20190104894,Southwest,Watermelon,2019,1,Dry Season,46.000,3626,78.8300
20190112832,Southwest,Paddy rice,2019,1,Dry Season,47.000,6603,140.4900
20190119458,Southwest,Cocoa,2019,1,Dry Season,92.000,6702,72.8500
20190120163,Southwest,Cowpea,2019,1,Dry Season,74.000,1483,20.0400
20190141137,Southwest,Rubber,2019,1,Dry Season,61.000,4567,74.8700
20190144302,Southwest,Voandzou,2019,1,Dry Season,40.000,4897,122.4200
20190148978,Southwest,Orange,2019,1,Dry Season,33.000,8266,250.4800
20190154717,Southwest,Avocado,2019,1,Dry Season,94.000,2372,25.2300
20190159565,Southwest,Mango,2019,1,Dry Season,30.000,9770,325.6700
20190164437,Southwest,Taro,2019,1,Dry Season,49.000,5309,108.3500
20190164692,Southwest,Macabo,2019,1,Dry Season,77.000,5821,75.6000
20190170760,Southwest,Yam,2019,1,Dry Season,55.000,9126,165.9300
20190172558,Southwest,Sweet potato,2019,1,Dry Season,49.000,1121,22.8800
20190192323,Southwest,Cassava,2019,1,Dry Season,36.000,9968,276.8900
20190192522,Southwest,Papaya,2019,1,Dry Season,29.000,4382,151.1000
20190196535,Southwest,Robusta coffee,2019,1,Dry Season,72.000,9998,138.8600
20190106106,South,Oil,2019,1,Dry Season,55.000,7069,128.5300
20190111015,South,Robusta coffee,2019,1,Dry Season,74.000,8482,114.6200
20190126499,South,Cocoa,2019,1,Dry Season,64.000,3650,57.0300
20190159307,South,Taro,2019,1,Dry Season,39.000,3081,79.0000
20190175496,South,Cassava,2019,1,Dry Season,91.000,4757,52.2700
20190101788,Littoral,Cocoa,2019,1,Dry Season,86.000,3493,40.6200
20190112424,Littoral,Black nightshade,2019,1,Dry Season,98.000,5480,55.9200
20190113922,Littoral,Chilli,2019,1,Dry Season,35.000,410,11.7100
20190117931,Littoral,Taro,2019,1,Dry Season,67.000,6538,97.5800
20190118103,Littoral,Orange,2019,1,Dry Season,55.000,9006,163.7500
20190120653,Littoral,Oil,2019,1,Dry Season,21.000,4595,218.8100
20190128993,Littoral,Sugar cane,2019,1,Dry Season,81.000,3225,39.8100
